pid,details
TEAFTZ3DYRDGSSFH,"['', ' ADD TO CART BUY NOW', '', 'Dabur Vedic Suraksha Green Tea Bags Box\xa0\xa0(50 Bags)4.41,886 Ratings\xa0&\xa0166 Reviews₹315₹35010% off', 'Available offersBank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&CBank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&CBank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&CBank Offer10% Off on First time ICICI Mastercard Credit Card transaction, Terms and Condition applyT&CView 2 more offers']"
TEAFPXCMYZ2AMHPC,"['', ' ADD TO CART BUY NOW', '', 'Octavius Kadak Assam CTC Tea Pouch\xa0\xa0(5 kg)47,330 Ratings\xa0&\xa01,207 Reviews₹1,299₹1,500₹201 off@65/250g', 'Available offersBank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&CBank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&CBank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&CBank Offer10% Off on First time ICICI Mastercard Credit Card transaction, Terms and Condition applyT&CView 2 more offers']"
TEAETC8RDJEXAGP4,"['', ' ₹0', '', 'ADD TO BASKET', '']"
TEAETM5TBNGJXNMG,"['', ' ₹0', '', 'ADD TO BASKET', '']"
TEAETM5TKFQ4EMGY,"['', ' ₹0', '', 'ADD TO BASKET', '']"
TEAETC92PCQM7RKM,"['', ' ₹0', '', 'ADD TO BASKET', '']"
TEAETY5NKPGFGFZK,"['', ' ADD TO CART BUY NOW', '', 'Red Label Natural Care Cardamom, Ginger, Liquorice, Tulsi Tea Box\xa0\xa0(500 g)4.518,514 Ratings\xa0&\xa01,850 Reviews₹285@142.5/250gOr Pay ₹276 +  9', 'Available offersCombo OfferBuy 3 items save 3%;Buy 4 or more save 5%See all productsT&CBank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&CBank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&CBank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&CView 3 more offers']"
TEAFSFAFVYHFH7W6,"['', ' ADD TO CART BUY NOW', '', 'TGL Co. Little Buddha Green Tea with Sandalwood, Red Peppercorns Sencha, Pineapple, Papaya, Liquorice, Chamomile Green Tea Pouch\xa0\xa0(100 g)4.3127 Ratings\xa0&\xa018 ReviewsSpecial price₹946₹1,19821% off@2365/250gHurry, Only a few left!', 'Available offersCombo OfferBuy 3 items save 5%;Buy 4 save 7%;Buy 5+ save 10%See all productsT&CCombo OfferBuy 3 items save 3%;Buy 4 or more save 5%See all productsT&CBank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&CBank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&CView 5 more offers']"
TEAEVHM97Z2XGQEM,"['', ' ₹0', '', 'ADD TO BASKET', '']"
TEAETY5NR2ZRGJRK,"['', ' ₹0', '', 'ADD TO BASKET', '']"
TEAETC9264EX7KNH,"['', ' ₹0', '', 'ADD TO BASKET', '']"
TEAFYTQTH53K4CWD,"['', ' ADD TO CART BUY NOW', '', 'NutroVally green tea for weight loss & Build Immunity | Premium tea leaves with Active Ingredients Lemon Green Tea Bags Box\xa0\xa0(25 Bags)#JustHere4.21,814 Ratings\xa0&\xa0249 Reviews₹175₹19912% off', 'Available offersBank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&CBank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&CBank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&CBank Offer10% Off on First time ICICI Mastercard Credit Card transaction, Terms and Condition applyT&CView 2 more offers']"
TEAFGHYM8QXHHK4P,"['', ' ₹0', '', 'ADD TO BASKET', '']"
TEAEUHAMYEGJ5PW4,"['', ' ₹0', '', 'ADD TO BASKET', '']"
TEAETM5TCX2WXST8,"['', ' ₹0', 'Bestseller', 'ADD TO BASKET', '']"
TEAFYTWPVUEZ6W89,"['', ' ADD TO CART BUY NOW', '', 'NutroVally herbal green tea for weight loss & Build Immunity | Premium tea leaves with Active Ingredients Lemon Herbal Infusion Bags Box\xa0\xa0(25 Bags)#JustHere4.2606 Ratings\xa0&\xa0131 Reviews₹189₹22516% off', 'Available offersBank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&CBank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&CBank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&CBank Offer10% Off on First time ICICI Mastercard Credit Card transaction, Terms and Condition applyT&CView 2 more offers']"
TEAETC92QASWGFTV,"['', ' ₹0', '', 'ADD TO BASKET', '']"
TEAETM5TRPUACCDZ,"['', ' ₹0', '', 'ADD TO BASKET', '']"
